"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","(X)","±0.7","±0.7","±0.8","±0.8","±0.8","","(X)","±1.6","±1.0","±1.4","±1.3","±1.8","(X)","±1.2","±1.0","±1.3","±1.1","±1.3","(X)","±1.7","±1.4","±1.3","±2.1","±1.6"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","266,820","94,892","31,874","39,257","42,635","58,162","","78,729","30,173","9,840","11,449","7,843","19,424","119,066","40,966","14,399","18,672","18,546","26,483","69,025","23,753","7,635","9,136","16,246","12,255"
"        Margin of Error","±7,819","±5,227","±3,326","±3,327","±3,254","±4,028","","±4,388","±3,037","±1,764","±1,916","±1,536","±2,720","±6,087","±3,418","±2,503","±2,390","±2,152","±2,464","±3,211","±2,325","±1,356","±1,188","±1,499","±1,791"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","35.6%","11.9%","14.7%","16.0%","21.8%","","(X)","38.3%","12.5%","14.5%","10.0%","24.7%","(X)","34.4%","12.1%","15.7%","15.6%","22.2%","(X)","34.4%","11.1%","13.2%","23.5%","17.8%"
"        Margin of Error","(X)","±1.8","±1.2","±1.1","±1.1","±1.4","","(X)","±3.3","±2.2","±2.4","±1.8","±2.9","(X)","±2.4","±1.9","±1.8","±1.7","±1.8","(X)","±2.8","±1.8","±1.6","±2.2","±2.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","130,347","59,007","9,460","22,425","11,985","27,470","","37,146","16,631","2,619","6,305","1,861","9,730","55,214","24,604","4,337","9,582","5,002","11,689","37,987","17,772","2,504","6,538","5,122","6,051"
"        Margin of Error","±5,067","±3,903","±1,725","±2,673","±1,852","±2,527","","±2,751","±1,890","±834","±1,477","±775","±1,798","±3,784","±2,589","±1,324","±1,723","±1,156","±1,743","±2,001","±1,827","±643","±1,131","±964","±1,189"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","45.3%","7.3%","17.2%","9.2%","21.1%","","(X)","44.8%","7.1%","17.0%","5.0%","26.2%","(X)","44.6%","7.9%","17.4%","9.1%","21.2%","(X)","46.8%","6.6%","17.2%","13.5%","15.9%"
"        Margin of Error","(X)","±2.5","±1.3","±1.9","±1.3","±1.8","","(X)","±4.5","±2.2","±3.7","±2.1","±4.0","(X)","±3.5","±2.3","±2.9","±1.9","±3.0","(X)","±4.0","±1.7","±2.8","±2.6","±2.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","136,473","35,885","22,414","16,832","30,650","30,692","","41,583","13,542","7,221","5,144","5,982","9,694","63,852","16,362","10,062","9,090","13,544","14,794","31,038","5,981","5,131","2,598","11,124","6,204"
"        Margin of Error","±4,688","±2,563","±2,677","±2,070","±2,573","±2,757","","±2,622","±1,886","±1,426","±1,384","±1,279","±1,655","±3,514","±1,818","±1,933","±1,558","±1,636","±1,934","±2,146","±1,064","±1,121","±684","±1,287","±1,193"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.3%","16.4%","12.3%","22.5%","22.5%","","(X)","32.6%","17.4%","12.4%","14.4%","23.3%","(X)","25.6%","15.8%","14.2%","21.2%","23.2%","(X)","19.3%","16.5%","8.4%","35.8%","20.0%"
"        Margin of Error","(X)","±1.9","±1.8","±1.4","±1.7","±1.8","","(X)","±4.1","±3.3","±3.2","±2.8","±3.7","(X)","±2.6","±2.7","±2.4","±2.5","±2.6","(X)","±3.0","±3.3","±2.1","±3.8","±3.6"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","445,261","128,676","48,300","101,413","77,132","89,740","","154,857","51,431","19,010","31,909","17,879","34,628","203,959","55,575","21,218","54,117","31,097","41,952","86,445","21,670","8,072","15,387","28,156","13,160"
"        Margin of Error","±8,434","±5,144","±4,064","±4,572","±4,053","±4,682","","±5,500","±2,890","±2,021","±3,134","±2,201","±2,817","±6,194","±3,454","±2,866","±3,025","±2,471","±3,264","±3,436","±1,530","±1,216","±1,535","±1,944","±1,847"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.9%","10.8%","22.8%","17.3%","20.2%","","(X)","33.2%","12.3%","20.6%","11.5%","22.4%","(X)","27.2%","10.4%","26.5%","15.2%","20.6%","(X)","25.1%","9.3%","17.8%","32.6%","15.2%"
"        Margin of Error","(X)","±1.1","±0.9","±0.9","±0.8","±1.0","","(X)","±1.5","±1.2","±1.8","±1.3","±1.7","(X)","±1.7","±1.3","±1.2","±1.1","±1.4","(X)","±1.8","±1.4","±1.5","±1.9","±1.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","207,027","79,052","9,777","56,342","21,683","40,173","","68,270","28,418","2,861","17,368","4,853","14,770","95,433","34,374","4,474","27,933","9,709","18,943","43,324","16,260","2,442","11,041","7,121","6,460"
"        Margin of Error","±4,989","±4,082","±1,750","±3,990","±2,162","±3,484","","±3,298","±2,235","±784","±2,220","±1,077","±1,536","±4,074","±2,726","±1,226","±2,604","±1,557","±2,601","±2,104","±1,386","±649","±1,367","±734","±1,135"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.2%","4.7%","27.2%","10.5%","19.4%","","(X)","41.6%","4.2%","25.4%","7.1%","21.6%","(X)","36.0%","4.7%","29.3%","10.2%","19.8%","(X)","37.5%","5.6%","25.5%","16.4%","14.9%"
"        Margin of Error","(X)","±1.8","±0.8","±1.8","±1.0","±1.6","","(X)","±2.6","±1.1","±2.9","±1.6","±2.1","(X)","±2.7","±1.3","±2.5","±1.5","±2.4","(X)","±2.8","±1.5","±2.7","±1.8","±2.4"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238,234","49,624","38,523","45,071","55,449","49,567","","86,587","23,013","16,149","14,541","13,026","19,858","108,526","21,201","16,744","26,184","21,388","23,009","43,121","5,410","5,630","4,346","21,035","6,700"
"        Margin of Error","±5,551","±3,038","±3,466","±2,974","±3,110","±3,050","","±3,608","±1,894","±1,844","±1,878","±1,689","±2,176","±3,602","±1,884","±2,576","±2,077","±1,762","±1,958","±2,495","±961","±1,107","±880","±1,849","±1,150"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.8%","16.2%","18.9%","23.3%","20.8%","","(X)","26.6%","18.7%","16.8%","15.0%","22.9%","(X)","19.5%","15.4%","24.1%","19.7%","21.2%","(X)","12.5%","13.1%","10.1%","48.8%","15.5%"
"        Margin of Error","(X)","±1.2","±1.3","±1.2","±1.2","±1.3","","(X)","±2.0","±2.0","±2.1","±1.7","±2.3","(X)","±1.8","±2.2","±1.8","±1.5","±1.7","(X)","±2.1","±2.5","±1.9","±3.2","±2.5"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","604,626","204,970","61,508","132,264","68,735","137,149","","196,170","70,669","22,211","37,895","13,046","52,349","264,300","84,499","27,872","64,866","28,940","58,123","144,156","49,802","11,425","29,503","26,749","26,677"
"        Margin of Error","±14,530","±8,578","±4,935","±6,503","±4,263","±6,974","","±7,874","±5,449","±2,661","±3,552","±2,568","±4,647","±9,549","±5,504","±3,540","±4,507","±2,788","±4,800","±5,715","±3,230","±1,613","±3,110","±2,372","±2,415"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.9%","10.2%","21.9%","11.4%","22.7%","","(X)","36.0%","11.3%","19.3%","6.7%","26.7%","(X)","32.0%","10.5%","24.5%","10.9%","22.0%","(X)","34.5%","7.9%","20.5%","18.6%","18.5%"
"        Margin of Error","(X)","±1.1","±0.8","±0.9","±0.6","±1.1","","(X)","±2.4","±1.3","±1.7","±1.2","±2.2","(X)","±1.6","±1.3","±1.5","±1.0","±1.6","(X)","±2.0","±1.1","±1.8","±1.5","±1.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","296,260","122,747","15,450","73,817","18,420","65,826","","88,418","37,253","5,220","18,722","2,829","24,394","131,248","51,332","6,745","35,676","8,282","29,213","76,594","34,162","3,485","19,419","7,309","12,219"
"        Margin of Error","±8,640","±5,995","±2,280","±5,021","±2,123","±4,624","","±5,231","±3,384","±1,316","±2,432","±1,208","±3,353","±6,691","±4,179","±1,454","±3,594","±1,406","±3,277","±3,822","±2,378","±888","±2,329","±1,164","±1,492"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.4%","5.2%","24.9%","6.2%","22.2%","","(X)","42.1%","5.9%","21.2%","3.2%","27.6%","(X)","39.1%","5.1%","27.2%","6.3%","22.3%","(X)","44.6%","4.5%","25.4%","9.5%","16.0%"
"        Margin of Error","(X)","±1.6","±0.8","±1.5","±0.7","±1.5","","(X)","±3.6","±1.5","±2.4","±1.3","±3.1","(X)","±2.4","±1.1","±2.4","±1.1","±2.2","(X)","±2.6","±1.1","±2.4","±1.5","±1.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","308,366","82,223","46,058","58,447","50,315","71,323","","107,752","33,416","16,991","19,173","10,217","27,955","133,052","33,167","21,127","29,190","20,658","28,910","67,562","15,640","7,940","10,084","19,440","14,458"
"        Margin of Error","±9,301","±5,307","±4,264","±3,725","±3,483","±4,681","","±5,265","±3,735","±2,430","±2,495","±2,161","±3,277","±5,759","±3,469","±3,022","±2,582","±2,360","±2,778","±3,437","±1,911","±1,222","±1,623","±1,888","±1,890"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.7%","14.9%","19.0%","16.3%","23.1%","","(X)","31.0%","15.8%","17.8%","9.5%","25.9%","(X)","24.9%","15.9%","21.9%","15.5%","21.7%","(X)","23.1%","11.8%","14.9%","28.8%","21.4%"
"        Margin of Error","(X)","±1.4","±1.3","±1.1","±1.0","±1.4","","(X)","±3.0","±2.1","±2.2","±1.9","±3.0","(X)","±2.3","±2.1","±1.9","±1.6","±2.0","(X)","±2.5","±1.8","±2.3","±2.4","±2.5"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","405,815","153,219","42,857","76,021","42,780","90,938","","116,912","46,856","13,480","20,092","7,516","28,968","189,583","72,113","19,447","40,370","18,936","38,717","99,320","34,250","9,930","15,559","16,328","23,253"
"        Margin of Error","±10,555","±6,730","±3,771","±4,124","±3,176","±5,375","","±6,434","±4,115","±2,258","±2,623","±1,321","±3,008","±7,060","±4,726","±2,856","±3,263","±2,362","±3,315","±4,165","±2,357","±1,747","±2,018","±1,742","±2,345"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.8%","10.6%","18.7%","10.5%","22.4%","","(X)","40.1%","11.5%","17.2%","6.4%","24.8%","(X)","38.0%","10.3%","21.3%","10.0%","20.4%","(X)","34.5%","10.0%","15.7%","16.4%","23.4%"
"        Margin of Error","(X)","±1.3","±0.9","±0.9","±0.8","±1.2","","(X)","±2.6","±1.8","±2.1","±1.1","±2.2","(X)","±1.9","±1.4","±1.5","±1.3","±1.6","(X)","±2.1","±1.6","±1.8","±1.8","±2.1"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","196,069","91,254","14,430","41,848","8,607","39,930","","56,198","25,527","4,374","10,917","2,082","13,298","88,232","43,371","6,467","19,455","3,007","15,932","51,639","22,356","3,589","11,476","3,518","10,700"
"        Margin of Error","±7,033","±4,807","±2,420","±2,959","±1,366","±3,162","","±3,965","±2,558","±1,310","±1,902","±865","±1,853","±4,788","±3,440","±1,921","±2,039","±832","±2,159","±2,292","±1,792","±1,006","±1,731","±710","±1,371"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","46.5%","7.4%","21.3%","4.4%","20.4%","","(X)","45.4%","7.8%","19.4%","3.7%","23.7%","(X)","49.2%","7.3%","22.0%","3.4%","18.1%","(X)","43.3%","7.0%","22.2%","6.8%","20.7%"
"        Margin of Error","(X)","±1.7","±1.2","±1.4","±0.7","±1.4","","(X)","±3.6","±2.2","±3.0","±1.5","±3.1","(X)","±2.8","±2.1","±2.2","±1.0","±2.2","(X)","±3.1","±1.9","±3.0","±1.4","±2.6"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","209,746","61,965","28,427","34,173","34,173","51,008","","60,714","21,329","9,106","9,175","5,434","15,670","101,351","28,742","12,980","20,915","15,929","22,785","47,681","11,894","6,341","4,083","12,810","12,553"
"        Margin of Error","±5,946","±3,928","±2,749","±2,858","±2,980","±3,864","","±3,609","±2,666","±1,581","±1,833","±1,127","±1,925","±4,249","±2,518","±1,882","±2,387","±2,127","±2,451","±2,837","±1,604","±1,332","±1,083","±1,602","±1,853"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.5%","13.6%","16.3%","16.3%","24.3%","","(X)","35.1%","15.0%","15.1%","9.0%","25.8%","(X)","28.4%","12.8%","20.6%","15.7%","22.5%","(X)","24.9%","13.3%","8.6%","26.9%","26.3%"
"        Margin of Error","(X)","±1.7","±1.3","±1.2","±1.4","±1.7","","(X)","±3.5","±2.5","±2.9","±1.9","±2.9","(X)","±2.3","±1.8","±2.1","±2.0","±2.3","(X)","±3.1","±2.6","±2.2","±3.3","±3.4"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,790,646","1,057,884","245,058","597,696","283,924","606,084","","916,572","358,669","82,531","192,455","62,373","220,544","1,338,398","518,472","112,855","311,927","111,373","283,771","535,676","180,743","49,672","93,314","110,178","101,769"
"        Margin of Error","±25,006","±16,183","±9,725","±12,867","±10,009","±14,560","","±14,218","±9,992","±5,481","±8,648","±4,822","±7,303","±17,111","±12,624","±5,759","±8,142","±6,102","±9,206","±10,676","±6,665","±3,970","±5,300","±4,940","±5,567"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.9%","8.8%","21.4%","10.2%","21.7%","","(X)","39.1%","9.0%","21.0%","6.8%","24.1%","(X)","38.7%","8.4%","23.3%","8.3%","21.2%","(X)","33.7%","9.3%","17.4%","20.6%","19.0%"
"        Margin of Error","(X)","±0.5","±0.3","±0.4","±0.3","±0.5","","(X)","±0.9","±0.6","±0.9","±0.5","±0.8","(X)","±0.8","±0.4","±0.5","±0.4","±0.7","(X)","±1.1","±0.7","±0.9","±0.8","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,338,232","610,626","68,054","339,658","59,294","260,600","","427,702","190,275","23,369","104,482","12,329","97,247","642,605","299,198","30,469","169,497","23,547","119,894","267,925","121,153","14,216","65,679","23,418","43,459"
"        Margin of Error","±12,844","±11,510","±5,184","±9,290","±4,297","±8,268","","±8,217","±7,148","±2,959","±6,003","±1,883","±5,589","±10,415","±8,576","±2,913","±6,258","±2,745","±5,378","±6,483","±5,045","±2,052","±3,730","±2,510","±3,069"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","45.6%","5.1%","25.4%","4.4%","19.5%","","(X)","44.5%","5.5%","24.4%","2.9%","22.7%","(X)","46.6%","4.7%","26.4%","3.7%","18.7%","(X)","45.2%","5.3%","24.5%","8.7%","16.2%"
"        Margin of Error","(X)","±0.8","±0.4","±0.6","±0.3","±0.6","","(X)","±1.4","±0.7","±1.3","±0.4","±1.3","(X)","±1.1","±0.4","±0.9","±0.4","±0.8","(X)","±1.7","±0.7","±1.2","±0.9","±1.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,452,414","447,258","177,004","258,038","224,630","345,484","","488,870","168,394","59,162","87,973","50,044","123,297","695,793","219,274","82,386","142,430","87,826","163,877","267,751","59,590","35,456","27,635","86,760","58,310"
"        Margin of Error","±17,759","±10,650","±7,612","±8,056","±8,588","±10,872","","±9,175","±7,424","±4,066","±5,054","±4,036","±5,953","±11,603","±7,987","±4,618","±5,437","±5,344","±6,771","±7,478","±3,907","±3,287","±2,924","±4,348","±4,103"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.8%","12.2%","17.8%","15.5%","23.8%","","(X)","34.4%","12.1%","18.0%","10.2%","25.2%","(X)","31.5%","11.8%","20.5%","12.6%","23.6%","(X)","22.3%","13.2%","10.3%","32.4%","21.8%"
"        Margin of Error","(X)","±0.7","±0.5","±0.5","±0.6","±0.7","","(X)","±1.3","±0.8","±1.0","±0.8","±1.2","(X)","±1.0","±0.6","±0.8","±0.7","±0.9","(X)","±1.2","±1.2","±1.1","±1.5","±1.3"
"New Mexico","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","435,930","167,291","37,681","68,155","62,313","100,490","","118,745","51,157","13,732","16,529","10,987","26,340","189,224","69,820","14,881","35,448","25,103","43,972","127,961","46,314","9,068","16,178","26,223","30,178"
"        Margin of Error","±9,601","±6,825","±3,158","±4,611","±4,108","±5,373","","±6,445","±4,126","±2,474","±2,685","±2,341","±3,388","±7,287","±5,085","±2,161","±3,322","±2,733","±3,581","±4,930","±3,506","±1,150","±1,990","±2,275","±2,598"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.4%","8.6%","15.6%","14.3%","23.1%","","(X)","43.1%","11.6%","13.9%","9.3%","22.2%","(X)","36.9%","7.9%","18.7%","13.3%","23.2%","(X)","36.2%","7.1%","12.6%","20.5%","23.6%"
"        Margin of Error","(X)","±1.3","±0.7","±1.0","±0.9","±1.2","","(X)","±2.8","±2.0","±2.2","±1.8","±2.4","(X)","±2.2","±1.1","±1.6","±1.4","±1.7","(X)","±2.0","±0.9","±1.5","±1.7","±1.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","204,008","100,785","10,058","34,605","15,351","43,209","","51,129","27,209","3,480","7,425","2,478","10,537","89,397","42,093","3,926","16,877","6,591","19,910","63,482","31,483","2,652","10,303","6,282","12,762"
"        Margin of Error","±6,333","±4,918","±1,661","±3,338","±2,146","±3,741","","±4,017","±3,254","±1,272","±1,604","±1,121","±1,852","±4,929","±3,562","±938","±2,404","±1,296","±2,231","±2,968","±2,791","±646","±1,628","±1,126","±2,021"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","49.4%","4.9%","17.0%","7.5%","21.2%","","(X)","53.2%","6.8%","14.5%","4.8%","20.6%","(X)","47.1%","4.4%","18.9%","7.4%","22.3%","(X)","49.6%","4.2%","16.2%","9.9%","20.1%"
"        Margin of Error","(X)","±1.9","±0.8","±1.5","±1.0","±1.7","","(X)","±4.5","±2.4","±3.1","±2.1","±3.3","(X)","±2.9","±1.0","±2.3","±1.5","±2.4","(X)","±3.6","±1.0","±2.4","±1.7","±3.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","231,922","66,506","27,623","33,550","46,962","57,281","","67,616","23,948","10,252","9,104","8,509","15,803","99,827","27,727","10,955","18,571","18,512","24,062","64,479","14,831","6,416","5,875","19,941","17,416"
"        Margin of Error","±6,460","±4,392","±2,560","±3,292","±3,664","±3,386","","±4,495","±2,769","±2,035","±2,064","±1,982","±2,391","±4,980","±2,979","±1,870","±2,309","±2,224","±2,503","±3,453","±1,793","±1,074","±1,184","±2,090","±1,695"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.7%","11.9%","14.5%","20.2%","24.7%","","(X)","35.4%","15.2%","13.5%","12.6%","23.4%","(X)","27.8%","11.0%","18.6%","18.5%","24.1%","(X)","23.0%","10.0%","9.1%","30.9%","27.0%"
"        Margin of Error","(X)","±1.6","±1.1","±1.3","±1.5","±1.4","","(X)","±3.4","±3.0","±2.8","±2.7","±3.1","(X)","±2.7","±1.8","±2.1","±2.1","±2.1","(X)","±2.4","±1.6","±1.7","±2.9","±2.2"
"New York","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,583,687","1,969,586","499,985","1,032,820","570,611","1,510,685","","2,018,934","756,167","173,302","379,486","126,492","583,487","2,440,436","836,494","222,693","502,840","235,790","642,619","1,124,317","376,925","103,990","150,494","208,329","284,579"
"        Margin of Error","±37,321","±25,038","±11,408","±15,252","±12,799","±23,959","","±22,559","±15,389","±7,761","±10,463","±7,021","±14,885","±24,816","±14,845","±8,865","±11,153","±7,366","±14,221","±15,130","±10,640","±4,334","±6,707","±7,473","±9,312"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","35.3%","9.0%","18.5%","10.2%","27.1%","","(X)","37.5%","8.6%","18.8%","6.3%","28.9%","(X)","34.3%","9.1%","20.6%","9.7%","26.3%","(X)","33.5%","9.2%","13.4%","18.5%","25.3%"
"        Margin of Error","(X)","±0.4","±0.2","±0.3","±0.2","±0.3","","(X)","±0.6","±0.4","±0.5","±0.3","±0.7","(X)","±0.5","±0.4","±0.5","±0.3","±0.4","(X)","±0.8","±0.4","±0.6","±0.6","±0.7"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,570,364","1,099,785","138,145","562,899","126,451","643,084","","914,004","394,713","47,960","205,370","26,596","239,365","1,115,151","466,232","58,928","258,846","52,851","278,294","541,209","238,840","31,257","98,683","47,004","125,425"
"        Margin of Error","±22,934","±19,356","±5,987","±11,129","±5,554","±13,360","","±14,159","±10,319","±3,909","±7,211","±2,727","±9,166","±14,956","±12,150","±4,382","±7,981","±3,725","±9,057","±10,048","±8,236","±2,558","±4,966","±2,942","±6,265"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.8%","5.4%","21.9%","4.9%","25.0%","","(X)","43.2%","5.2%","22.5%","2.9%","26.2%","(X)","41.8%","5.3%","23.2%","4.7%","25.0%","(X)","44.1%","5.8%","18.2%","8.7%","23.2%"
"        Margin of Error","(X)","±0.6","±0.2","±0.4","±0.2","±0.5","","(X)","±1.0","±0.4","±0.7","±0.3","±0.9","(X)","±0.9","±0.4","±0.7","±0.3","±0.7","(X)","±1.3","±0.5","±0.9","±0.5","±1.1"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,013,323","869,801","361,840","469,921","444,160","867,601","","1,104,930","361,454","125,342","174,116","99,896","344,122","1,325,285","370,262","163,765","243,994","182,939","364,325","583,108","138,085","72,733","51,811","161,325","159,154"
"        Margin of Error","±22,864","±16,756","±9,025","±11,451","±12,588","±17,280","","±13,485","±10,802","±6,681","±7,185","±6,022","±10,402","±16,475","±10,119","±7,344","±8,114","±7,281","±9,667","±9,044","±5,941","±3,121","±4,280","±7,122","±6,742"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.9%","12.0%","15.6%","14.7%","28.8%","","(X)","32.7%","11.3%","15.8%","9.0%","31.1%","(X)","27.9%","12.4%","18.4%","13.8%","27.5%","(X)","23.7%","12.5%","8.9%","27.7%","27.3%"
"        Margin of Error","(X)","±0.5","±0.3","±0.4","±0.4","±0.5","","(X)","±0.8","±0.6","±0.6","±0.5","±0.9","(X)","±0.6","±0.5","±0.6","±0.5","±0.6","(X)","±0.9","±0.5","±0.7","±1.2","±1.1"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,529,657","875,931","242,988","519,136","303,238","588,364","","794,680","302,599","75,772","149,730","60,169","206,410","1,205,666","410,820","121,029","278,042","123,829","271,946","529,311","162,512","46,187","91,364","119,240","110,008"
"        Margin of Error","±27,735","±16,896","±8,733","±12,172","±10,057","±15,660","","±14,392","±10,525","±5,535","±6,912","±4,368","±9,258","±20,110","±11,219","±5,446","±9,781","±6,754","±9,378","±10,262","±5,594","±3,242","±4,497","±4,961","±6,055"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.6%","9.6%","20.5%","12.0%","23.3%","","(X)","38.1%","9.5%","18.8%","7.6%","26.0%","(X)","34.1%","10.0%","23.1%","10.3%","22.6%","(X)","30.7%","8.7%","17.3%","22.5%","20.8%"
"        Margin of Error","(X)","±0.5","±0.3","±0.5","±0.4","±0.6","","(X)","±1.1","±0.6","±0.9","±0.5","±1.1","(X)","±0.7","±0.4","±0.7","±0.5","±0.7","(X)","±0.9","±0.6","±0.8","±0.9","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,142,340","492,012","64,373","280,208","60,528","245,219","","344,688","152,319","17,701","82,581","12,022","80,065","540,109","227,009","32,817","137,726","25,493","117,064","257,543","112,684","13,855","59,901","23,013","48,090"
"        Margin of Error","±16,595","±11,051","±4,400","±9,048","±4,282","±9,024","","±8,958","±7,000","±2,600","±5,540","±2,201","±5,626","±13,079","±7,752","±3,221","±6,706","±3,185","±6,155","±6,416","±4,505","±1,636","±3,732","±2,049","±3,575"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
